,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,region,name,sector_type,ice_region_type,area,volume
0,0.0,0.5577999999999994,-3.653516666666666,-4.0432500000000005,-7.9894,-9.34355,-3.3996666666666666,1.5085166666666667,-2.566533333333333,-5.848433333333334,-6.796966666666666,-4.883083333333333,-4.818766666666667,-5.6021833333333335,-7.727633333333333,-1.3966277777777776,-1.8210999999999997,-6.5332,-7.584933333333335,0.7065333333333337,-12.74156111111111,NE,NIOGHALVFJERDSFJORDEN,TW, ice_sheet,108288.3,234538
1,1.0,0.8733333333333334,-1.42405,-5.189900000000001,-6.159466666666667,-5.246916666666667,-2.583233333333333,0.4585388888888889,-3.785916666666667,-4.5808333333333335,-4.906155555555555,-3.7385499999999996,-4.303916666666667,-4.626799999999999,-7.3321000000000005,-2.5484,-2.7776,-6.880599999999999,-7.995283333333333,-1.7201666666666673,-12.5304,NE,ZACHARIAE_ISSTROM,TW, ice_sheet,89768.8,220276
2,2.0,-7.3226666666666675,-9.057116666666666,-17.921,-20.566366666666667,-16.784566666666667,-16.14235,-24.696816666666663,-30.970233333333333,-26.61413333333333,-24.260416666666668,-32.645805555555555,-30.395061111111108,-33.23433333333334,-36.8638,-33.69851666666667,-30.93798333333333,-30.17465,-23.159033333333337,-13.873800000000001,-26.864172222222223,CW,JAKOBSHAVN_ISBRAE,TW, ice_sheet,78155.4,196676
3,3.0,-4.443766666666667,4.013683333333334,-1.0860999999999998,-5.5014111111111115,-4.727777777777778,-0.18226666666666672,-2.9172999999999996,-2.8707166666666666,-6.559566666666665,-8.513733333333333,-6.184516666666667,-4.055616666666666,-4.074755555555556,-5.889833333333334,-1.101433333333333,-8.766483333333333,-7.498,-0.4746166666666668,-0.9516777777777777,-9.908227777777777,NO,PETERMANN_GLETSCHER,TW, ice_sheet,71268.7,147503
4,4.0,-0.28881666666666667,6.293916666666667,5.748483333333334,-1.3463166666666666,-7.599149999999999,7.157,11.703633333333334,-12.478966666666667,-14.8461,8.026850000000001,-12.837466666666666,-21.73745,-11.776716666666665,-26.661783333333332,1.2798500000000002,-5.435233333333333,-4.576966666666667,-17.39525,6.01075,-12.91165,SW,SAQQAP-MAJORQAQ-SOUTHTERRUSSEL_SOUTHQUARUSSEL,LT, ice_sheet,60904.1,93152
5,5.0,3.3556166666666667,0.4307833333333333,-0.6556000000000001,-3.39725,-6.4134166666666665,0.6892499999999999,2.461116666666667,-0.26275000000000004,-5.8692166666666665,-0.5332833333333333,0.014749999999999997,-5.037133333333333,-1.9160833333333334,-5.3961500000000004,2.7595333333333336,4.1037,-4.47985,-4.137899999999999,4.39705,-7.20895,NE,STORSTROMMEN,LT, ice_sheet,56437.7,107722
6,6.0,-1.1044166666666684,-4.329583333333335,-2.8177166666666675,16.088366666666666,-5.123933333333333,-11.7387,-20.645133333333334,-16.53585,-6.800883333333334,-0.8980500000000001,-13.516666666666666,-7.808783333333333,-12.250166666666665,-10.8206,-8.577016666666665,-1.9274500000000003,-4.147566666666666,2.9551666666666674,-0.5572666666666652,-7.143299999999998,CE,KANGERLUSSUAQ,TW, ice_sheet,50714.5,100233
7,7.0,5.8574,-2.088633333333333,5.011294444444445,10.809716666666667,-4.746949999999999,-6.632450000000001,-11.3362,-7.30265,-2.8987499999999993,-1.1563833333333335,-7.017883333333334,-5.363216666666667,-5.9263666666666674,-1.8870166666666661,-2.6435999999999997,-1.477816666666667,-6.871683333333333,-1.648272222222223,-3.1943888888888896,-6.146094444444445,SE,HELHEIMGLETSCHER,TW, ice_sheet,50283.0,107403
8,8.0,-2.5241000000000002,-1.6428000000000003,-1.8421166666666673,3.724266666666667,-2.8237833333333335,-0.05425000000000055,-2.5655833333333327,-3.3387333333333333,0.6477999999999997,2.4997999999999996,-3.974416666666667,-2.012366666666667,-2.7598666666666665,-3.2403499999999994,0.6088666666666654,1.407144444444444,1.3647444444444448,3.6063944444444442,5.870516666666667,-3.528183333333333,CE,DAUGAARD-JENSEN,TW, ice_sheet,49925.9,114072
9,9.0,-6.918683333333333,2.5259666666666667,-4.92655,-5.89305,-7.258516666666667,-4.88865,-3.704333333333333,-4.953383333333333,-9.025427777777777,-12.427083333333334,-8.609916666666667,-9.631583333333333,-6.980027777777778,-5.8986277777777785,-5.073666666666667,-7.440416666666668,-13.744716666666667,-4.364333333333333,-1.7747777777777776,-7.514572222222223,NO,HUMBOLDT_GLETSCHER,TW, ice_sheet,46941.9,75672
10,10.0,-0.5778999999999996,1.6469000000000003,-2.160416666666666,-2.84155,1.3114777777777777,1.3988833333333335,-1.2246666666666668,-2.6609,-2.4908833333333336,-1.5225833333333325,-1.9572166666666664,-2.4611666666666667,-0.9663833333333331,-2.1904500000000002,-3.407600000000001,-1.9295999999999998,-0.0444833333333327,-1.8284000000000005,0.6048500000000011,-5.7508,CW,STORE_GLETSCHER,TW, ice_sheet,30047.8,75035
11,11.0,-2.618033333333334,0.38380000000000053,-4.65345,-4.898199999999999,-0.11068888888888899,0.10201666666666664,-4.025833333333334,-4.563333333333334,-5.07715,-4.4460000000000015,-3.8597055555555553,-3.9353444444444445,-3.8312999999999997,-3.1345333333333327,-5.557883333333334,-3.9177833333333334,-1.9764166666666665,-4.152766666666667,-1.8908833333333332,-4.809611111111112,CW,RINK_ISBRAE,TW, ice_sheet,29682.5,66000
